file,.\qep_port.hpp,num_empty_lines,5,
file,.\qep_port.hpp,num_include_directives,2,
file,.\qep_port.hpp,num_lines,44,
file,32bit\cstdint,halstead_bugs,0.147,
file,32bit\cstdint,halstead_difficulty,5.789,
file,32bit\cstdint,halstead_effort,2556.748,
file,32bit\cstdint,halstead_length,90,
file,32bit\cstdint,halstead_level,0.173,
file,32bit\cstdint,halstead_time,142.042,
file,32bit\cstdint,halstead_vocabulary,30,
file,32bit\cstdint,halstead_volume,441.620,
file,32bit\cstdint,num_code_lines,19,
file,32bit\cstdint,num_comment_lines,24,
file,32bit\cstdint,num_empty_lines,8,
file,32bit\cstdint,num_include_directives,0,
file,32bit\cstdint,num_lines,35,
file,..\../include\qep.hpp,halstead_bugs,4.140,
file,..\../include\qep.hpp,halstead_difficulty,79.614,
file,..\../include\qep.hpp,halstead_effort,988755.945,
file,..\../include\qep.hpp,halstead_length,1583,
file,..\../include\qep.hpp,halstead_level,0.013,
file,..\../include\qep.hpp,halstead_time,54930.886,
file,..\../include\qep.hpp,halstead_vocabulary,230,
file,..\../include\qep.hpp,halstead_volume,12419.411,
file,..\../include\qep.hpp,num_code_lines,293,
file,..\../include\qep.hpp,num_comment_lines,309,
file,..\../include\qep.hpp,num_empty_lines,114,
file,..\../include\qep.hpp,num_include_directives,0,
file,..\../include\qep.hpp,num_lines,687,
file,qv/qv_port.hpp,halstead_bugs,0.038,
file,qv/qv_port.hpp,halstead_difficulty,2.917,
file,qv/qv_port.hpp,halstead_effort,333.809,
file,qv/qv_port.hpp,halstead_length,28,
file,qv/qv_port.hpp,halstead_level,0.343,
file,qv/qv_port.hpp,halstead_time,18.545,
file,qv/qv_port.hpp,halstead_vocabulary,17,
file,qv/qv_port.hpp,halstead_volume,114.449,
file,qv/qv_port.hpp,num_code_lines,10,
file,qv/qv_port.hpp,num_comment_lines,49,
file,qv/qv_port.hpp,num_empty_lines,5,
file,qv/qv_port.hpp,num_include_directives,1,
file,qv/qv_port.hpp,num_lines,62,
file,..\../include\qv.hpp,halstead_bugs,0.396,
file,..\../include\qv.hpp,halstead_difficulty,14.074,
file,..\../include\qv.hpp,halstead_effort,16735.213,
file,..\../include\qv.hpp,halstead_length,194,
file,..\../include\qv.hpp,halstead_level,0.071,
file,..\../include\qv.hpp,halstead_time,929.734,
file,..\../include\qv.hpp,halstead_vocabulary,70,
file,..\../include\qv.hpp,halstead_volume,1189.081,
file,..\../include\qv.hpp,num_code_lines,32,
file,..\../include\qv.hpp,num_comment_lines,66,
file,..\../include\qv.hpp,num_empty_lines,17,
file,..\../include\qv.hpp,num_include_directives,3,
file,..\../include\qv.hpp,num_lines,107,
file,..\../include/qequeue.hpp,halstead_bugs,0.443,
file,..\../include/qequeue.hpp,halstead_difficulty,25,
file,..\../include/qequeue.hpp,halstead_effort,33208.634,
